"Nivel general","Alimentos y bebidas no alcohólicas","Alimentos","Pan y cereales","Carnes y derivados","Leche, productos lácteos y huevos","Aceites, grasas y manteca","Frutas","Verduras, tubérculos y legumbres","Azúcar, dulces, chocolate, golosinas, etc,","Bebidas no alcohólicas","Café, té, yerba y cacao","Aguas minerales, bebidas gaseosas y jugos","Bebidas alcohólicas y tabaco","Bebidas alcohólicas","Tabaco","Prendas de vestir y calzado","Prendas de vestir y materiales","Calzado","Vivienda, agua, electricidad y otros combustibles","Alquiler de la vivienda y gastos conexos","Alquiler de la vivienda","Mantenimiento y reparación de la vivienda","Electricidad, gas y otros combustibles","Equipamiento y mantenimiento del hogar","Bienes y servicios para la conservación del hogar","Salud","Productos medicinales, artefactos y equipos para la salud","Gastos de prepagas","Transporte","Adquisición de vehículos","Funcionamiento de equipos de transporte personal","Combustibles y lubricantes para vehículos de uso del hogar","Transporte público","Comunicación","Servicios  de telefonía e internet","Recreación y cultura","Equipos audiovisuales, fotográficos y de procesamiento de la información","Servicios recreativos y culturales","Periódicos, diarios, revistas, libros y artículos de papelería","Educación","Restaurantes y hoteles","Restaurantes y comidas fuera del hogar","Bienes y servicios varios","Cuidado personal","Periodo","Mes","Año","Interanual"
3.2,2.5,2.1,1.9,1.6,3.4,4.4,5,-1.4,4.1,5,3.6,5.5,6.4,6.3,6.5,4.6,4.5,4.8,2,3.9,2.4,1.7,0.4,8.7,13,4.6,5.3,4,2.5,5.1,2.3,2.1,0.7,0.1,0,2.3,2,2.9,3.2,1.3,2.6,2.6,3.7,3.7,2019-10-01,"10","2019",49.43
4.1,5.7,5.9,4.6,6.7,1.5,1.2,27.5,7,4.1,4.2,3.4,4.5,5.4,4.3,6.2,4.1,4.1,4.4,1.7,3.8,2.1,3.6,-0.8,0,-3,5.8,7.9,4,3.7,4.3,4.9,5.9,1.5,6.8,6.9,2.8,3.4,-0.2,3.2,7.5,3.1,3,4.3,4.6,2019-11-01,"11","2019",51.17
3.8,2.8,2.7,3.4,5,2,2,1,-3.7,4.6,3.3,4.5,2.9,3.1,2.5,3.4,2,1.7,2.7,2.7,4.8,1.7,3.8,0.6,5.5,8.2,6.4,4.2,12,4.4,4.5,5.1,6.6,3.5,10.1,10.5,2.9,-0.1,5,3.2,3.7,3.7,3.4,3.6,4.3,2019-12-01,"12","2019",52.64
1.9,4.6,4.8,4.2,5.9,5.5,5.2,0,2.9,6.5,3.3,7.2,2.1,4.5,2.9,5.5,0.6,0.2,1.5,-0.6,-2,2.3,2.7,0,-1.9,-4.7,-2.3,-5.1,0,0.8,0.4,1.3,0.7,0.5,0.1,0,5.5,0.6,6.6,2.8,1.1,4.2,3.1,3.3,3.3,2020-01-01,"01","2020",51.3
1.8,2.4,2.3,2.1,1.8,1.2,1.9,1.2,6.7,3.7,3.1,3.7,2.9,1.2,0.8,1.4,2.3,2.3,2.4,1.2,2.4,2.7,2,-0.3,1.9,2,0.3,0.3,0,1.4,2.5,0.8,0.2,1.3,2.5,2.3,1,1,0.1,2.8,0.8,3.3,3.6,2.7,2.6,2020-02-01,"02","2020",48.39
3.6,3.8,4.1,2.1,4.3,2.2,0.8,4.1,12.9,3,1.8,2.1,1.7,3.2,1.7,4.1,4.1,5,1.7,2,3.9,2.9,3.6,-0.4,3,2.7,2.6,3.3,0,2.2,5.1,1.2,0.1,1.4,8.3,8.6,3.3,6.5,5.6,2,20,1.9,2.6,2.2,2.2,2020-03-01,"03","2020",46.69
1.4,3.2,3.6,1.1,3.5,1,-0.5,7.1,11.5,2.9,0.7,-0.7,1.2,1,-0.8,2.1,1.4,0,0,0.2,0.7,1.2,2.5,-1,1,0.5,0.9,1.6,0,1.9,5.2,0.9,0.3,0.4,-2.9,-3.1,2.1,0.5,1,5.4,-2.2,1.4,0,-0.4,-0.5,2020-04-01,"04","2020",44.13
1.5,0.3,0.5,0.3,-0.5,0.8,0.5,-1.1,4.6,-0.4,-1.2,0.1,-1.7,0,-0.1,0,10.1,10.1,10.2,0.3,-0.1,-0.2,5,-0.7,2.9,2,0.8,0.1,0,0.2,-0.7,0.6,0,0.6,0.5,0,3.2,17.8,-2.8,-0.1,-2,1.5,0,2.4,2.4,2020-05-01,"05","2020",42.03
2,1.2,1.2,1.9,0.9,0.7,-0.5,0.2,2.8,0.6,1.2,0.5,1.5,3.7,0.4,5.6,5.2,5,5.8,0.7,1,1.7,2.3,-0.1,4.5,0.4,1.5,2.7,0,1.9,4.4,1.3,0.5,0.5,0.4,0,5.1,14.9,0.1,2.2,-0.5,2,0,-0.5,-0.2,2020-06-01,"06","2020",41.2
1.6,1.3,1.2,2.1,2.5,1.5,1.6,0.2,-3.9,1,2.3,3.3,1.9,1.6,2.2,1.2,1.4,1.7,0.4,0.5,0.5,0.7,2.5,-0.1,4.4,0.6,1.7,2.8,0,1.8,4.4,1,0.1,0.4,1.9,1.7,2.2,3.7,1.3,1.5,-0.5,1.6,0,3,3.7,2020-07-01,"07","2020",40.51
